Skeleton ID,Branch length,V1 x,V1 y,V1 z,V2 x,V2 y,V2 z,Euclidean distance,running average length,average intensity (inner 3rd),average intensity
1,4274.045,0,0,0,0,0,0,0,2136.269,255,255
1,4243.550,0,0,0,0,0,0,0,2121.356,255,255
1,4236.699,0,0,0,0,0,0,0,2118.040,255,255
1,4221.466,0,0,0,0,0,0,0,2111.479,255,255
1,4194.502,0,0,0,0,0,0,0,2096.463,255,255
1,4172.411,0,0,0,0,0,0,0,2088.013,255,255
1,4147.553,0,0,0,0,0,0,0,2074.592,255,255
1,4107.384,0,0,0,0,0,0,0,2055.409,255,255
1,4091.610,0,0,0,0,0,0,0,2045.329,255,255
1,4087.327,0,0,0,0,0,0,0,2043.423,255,255
1,4079.136,0,0,0,0,0,0,0,2040.429,255,255
1,4055.160,0,0,0,0,0,0,0,2027.626,255,255
1,4035.167,0,0,0,0,0,0,0,2017.320,255,255
1,4010.623,0,0,0,0,0,0,0,2008.006,255,255
1,3989.495,0,0,0,0,0,0,0,1994.072,255,255
1,3984.333,0,0,0,0,0,0,0,1991.982,255,255
1,3886.896,0,0,0,0,0,0,0,1952.665,255,255
1,3841.292,0,0,0,0,0,0,0,1923.313,255,255
1,3793.758,0,0,0,0,0,0,0,1901.584,255,255
1,3771.200,0,0,0,0,0,0,0,1886.372,255,255
1,3750.342,0,0,0,0,0,0,0,1879.588,255,255
1,3698.043,0,0,0,0,0,0,0,1851.805,255,255
1,3675.150,0,0,0,0,0,0,0,1837.913,255,255
1,3651.443,0,0,0,0,0,0,0,1825.267,255,255
1,3645.329,0,0,0,0,0,0,0,1823.396,255,255
1,3609.988,0,0,0,0,0,0,0,1804.626,255,255
1,3462.415,0,0,0,0,0,0,0,1730.054,255,255
1,3358.829,0,0,0,0,0,0,0,1678.415,255,255
1,3349.731,0,0,0,0,0,0,0,1676.563,255,255
1,3232.065,0,0,0,0,0,0,0,1615.692,255,255
1,3072.323,0,0,0,0,0,0,0,1535.720,255,255
1,3056.526,0,0,0,0,0,0,0,1527.352,255,255
1,3024.204,0,0,0,0,0,0,0,1511.683,255,255
1,3022.415,0,0,0,0,0,0,0,1510.415,255,255
1,2989.242,0,0,0,0,0,0,0,1494.218,255,255
1,2903.124,0,0,0,0,0,0,0,1450.871,255,255
1,2752.453,0,0,0,0,0,0,0,1375.508,255,255
1,2724.073,0,0,0,0,0,0,0,1361.297,255,255
1,2631.485,0,0,0,0,0,0,0,1315.581,255,255
1,2587.373,0,0,0,0,0,0,0,1293.883,255,255
1,2528.046,0,0,0,0,0,0,0,1263.587,255,255
1,1776.445,0,0,0,0,0,0,0,4.000,255,255
1,1454.714,0,0,0,0,0,0,0,0.000,0,0
1,1348.061,0,0,0,0,0,0,0,0.000,0,0
1,1149.415,0,0,0,0,0,0,0,1.000,255,255
1,624.416,0,0,0,0,0,0,0,313.000,255,255
1,596.000,0,0,0,0,0,0,0,0.000,0,0
1,565.415,0,0,0,0,0,0,0,0.000,0,0
1,513.000,0,0,0,0,0,0,0,0.000,0,0
1,479.415,0,0,0,0,0,0,0,0.000,0,0
1,434.000,0,0,0,0,0,0,0,0.000,0,0
1,167.417,0,0,0,0,0,0,0,3.000,255,255
