 ,Feret,FeretX,FeretY,FeretAngle,MinFeret
1,9.85,1312,792,23.96,1.90
2,16.28,677,601,100.62,1.99
3,2.83,1323,371,135.00,1.41
4,1.41,1013,125,135.00,1.00
5,20.10,76,507,174.29,1.99
6,2.24,488,886,153.43,1.00
7,4.47,1086,710,26.57,1.90
8,1.41,723,776,135.00,1.00
9,10.20,1196,412,101.31,1.98
10,3.16,226,623,108.43,1.00
11,9.49,723,449,18.43,1.94
12,5.83,1469,469,120.96,1.79
13,5.00,453,362,143.13,1.79
14,4.47,434,745,26.57,1.79
15,3.16,1040,917,161.57,1.00
16,15.13,450,613,97.59,1.99
17,10.44,577,619,73.30,2.06
18,4.12,1367,1004,104.04,1.00
19,19.42,1356,386,168.11,2.05
20,2.83,111,693,135.00,1.41
21,9.22,842,309,130.60,2.00
22,12.37,227,626,75.96,1.97
23,8.60,923,249,125.54,2.00
24,21.10,104,399,121.43,2.11
25,20.62,45,452,140.91,2.03
26,6.40,523,389,128.66,1.94
27,5.39,801,177,21.80,1.90
28,22.20,106,402,125.84,2.13
29,5.39,1026,341,68.20,1.94
30,5.83,161,658,120.96,1.79
31,13.60,122,469,72.90,2.06
32,9.85,939,971,23.96,2.06
33,11.40,952,890,142.13,2.09
34,3.61,979,650,123.69,1.79
35,15.26,1696,461,31.61,2.11
36,10.30,314,796,29.05,1.79
37,6.32,674,769,18.43,1.94
38,6.32,987,898,18.43,1.90
39,13.89,925,724,59.74,2.11
40,20.25,60,400,20.22,2.11
41,21.19,313,609,109.29,2.11
42,4.12,993,603,104.04,1.00
43,19.70,578,804,23.96,2.15
44,4.47,463,304,26.57,1.90
45,2.83,1178,1036,135.00,1.41
46,1.41,1181,1039,135.00,1.00
47,7.62,987,478,113.20,2.04
48,3.61,1345,908,33.69,1.79
49,7.81,873,256,50.19,1.94
50,8.94,499,314,153.43,2.04
51,4.47,513,320,153.43,1.79
52,10.05,483,382,174.29,1.00
53,4.47,995,205,116.57,1.79
54,13.42,855,211,153.43,2.10
55,14.14,764,616,81.87,1.99
56,4.47,1046,793,63.43,1.90
57,21.84,127,607,74.05,1.94
58,5.00,1405,766,53.13,1.79
59,3.16,348,884,161.57,1.00
60,8.94,1638,395,116.57,1.79
61,9.43,1511,647,57.99,2.06
62,8.54,1595,479,20.56,1.94
63,3.61,81,857,33.69,1.79
64,5.83,49,579,149.04,1.79
65,16.12,746,189,7.13,1.99
66,2.24,604,219,153.43,1.00
67,17.26,800,939,169.99,1.99
68,10.30,673,560,60.95,1.79
69,6.32,692,445,18.43,1.90
70,3.61,1762,700,33.69,1.79
71,20.22,775,540,98.53,1.99
72,4.47,1236,1107,63.43,1.79
73,5.83,952,343,30.96,1.79
74,7.28,864,857,74.05,1.94
75,11.18,717,676,79.70,1.97
76,3.16,752,527,161.57,1.00
77,3.16,735,528,161.57,1.00
78,2.24,1528,965,116.57,1.00
79,4.47,569,392,153.43,1.79
80,18.97,102,776,18.43,2.11
81,2.24,656,434,153.43,1.00
82,4.12,643,435,165.96,1.00
83,7.62,1005,454,23.20,2.04
84,6.71,43,630,63.43,1.79
85,5.66,1138,745,135.00,1.41
86,5.39,1003,952,21.80,1.90
87,16.12,531,579,172.87,1.99
88,9.06,1376,775,173.66,1.00
89,2.83,1119,114,45.00,1.41
90,6.32,898,993,161.57,1.96
91,21.54,1108,447,158.20,2.11
92,7.28,970,295,164.05,1.96
93,9.85,1671,409,23.96,2.04
94,16.16,996,781,68.20,2.11
95,2.24,1300,901,116.57,1.00
96,2.24,424,637,153.43,1.00
97,8.25,1001,718,14.04,1.94
98,5.66,601,1013,45.00,1.41
99,7.28,1312,972,15.95,1.94
100,10.30,877,761,150.95,1.79
101,2.83,960,784,135.00,1.41
102,6.32,736,46,71.57,1.94
103,9.43,752,1071,147.99,2.06
104,4.47,1092,890,26.57,1.90
105,9.22,735,582,12.53,1.96
106,2.83,573,733,45.00,1.41
107,10.30,889,164,150.95,2.10
108,11.66,1605,529,30.96,2.06
109,7.62,982,392,23.20,2.04
110,7.28,653,817,15.95,1.94
111,7.21,625,204,56.31,1.94
112,3.16,219,432,161.57,1.00
113,13.42,472,431,153.43,2.13
114,7.21,1286,954,123.69,1.79
115,8.25,994,603,104.04,1.97
116,3.61,352,470,123.69,1.79
117,7.21,881,314,33.69,2.06
