Skeleton ID,Branch length,V1 x,V1 y,V1 z,V2 x,V2 y,V2 z,Euclidean distance,running average length,average intensity (inner 3rd),average intensity
2,3.828,4,723,0,4,726,0,3.000,0.000,0,0
2,3.828,4,723,0,7,723,0,3.000,0.000,0,0
2,3.828,7,723,0,10,723,0,3.000,1.000,255,255
2,2.414,3,728,0,4,726,0,2.236,0.000,0,0
3,72.385,2,483,0,15,416,0,68.250,67.834,255,255
3,39.385,40,379,0,41,345,0,34.015,35.463,255,255
3,31.142,15,416,0,28,392,0,27.295,27.464,255,255
3,29.213,19,347,0,38,328,0,26.870,25.627,255,255
3,27.971,18,369,0,28,392,0,25.080,23.759,255,255
3,25.971,18,369,0,39,381,0,24.187,24.080,255,255
3,23.728,17,349,0,18,369,0,20.025,20.434,255,255
3,18.556,28,351,0,40,338,0,17.692,14.885,255,255
3,18.485,28,392,0,39,381,0,15.556,14.685,255,255
3,16.314,28,351,0,41,345,0,14.318,12.786,255,255
3,11.485,19,347,0,28,351,0,9.849,10.016,255,255
3,11.414,38,328,0,40,338,0,10.198,8.000,255,255
3,8.243,40,338,0,41,345,0,7.071,5.637,255,255
3,2.828,17,349,0,19,347,0,2.828,1.414,255,255
3,2.414,39,381,0,40,379,0,2.236,0.000,0,0
48,88.113,210,933,0,280,938,0,70.178,80.150,255,255
48,73.841,332,1066,0,392,1034,0,68.000,66.485,255,255
48,66.627,200,914,0,260,916,0,60.033,60.689,255,255
48,60.941,309,954,0,344,986,0,47.424,54.723,255,255
48,53.042,286,1081,0,332,1066,0,48.384,47.489,255,255
48,49.870,309,954,0,339,985,0,43.139,43.959,255,255
48,36.213,280,938,0,309,954,0,33.121,31.476,255,255
48,31.142,195,912,0,196,884,0,28.018,26.635,255,255
48,27.971,357,994,0,370,1010,0,20.616,23.633,255,255
48,24.971,286,1081,0,303,1096,0,22.672,20.223,255,255
48,23.728,200,914,0,210,933,0,21.471,20.824,255,255
48,22.728,383,1015,0,392,1034,0,21.024,17.777,255,255
48,20.899,322,991,0,329,987,0,8.062,17.117,255,255
48,16.485,267,919,0,274,932,0,14.765,12.780,255,255
48,16.314,344,986,0,357,994,0,15.264,13.291,255,255
48,15.071,370,1010,0,383,1015,0,13.928,12.544,255,255
48,12.485,260,916,0,267,919,0,7.616,9.098,255,255
48,10.828,329,987,0,339,985,0,10.198,8.637,255,255
48,9.071,274,932,0,280,938,0,8.485,7.131,255,255
48,8.657,322,991,0,329,987,0,8.062,4.172,255,255
48,8.243,260,916,0,267,919,0,7.616,5.637,255,255
48,5.828,195,912,0,200,914,0,5.385,4.617,255,255
48,5.414,339,985,0,344,986,0,5.099,3.000,255,255
60,209.865,438,478,0,526,650,0,193.205,197.930,255,255
60,133.095,237,435,0,304,538,0,122.874,123.817,255,255
60,130.184,237,435,0,356,416,0,120.507,122.379,255,255
60,76.083,385,676,0,432,629,0,66.468,67.599,255,255
60,66.870,345,702,0,362,647,0,57.567,60.941,255,255
60,64.669,446,442,0,483,489,0,59.816,58.068,255,255
60,59.627,541,503,0,555,556,0,54.818,54.463,255,255
60,59.355,360,414,0,388,368,0,53.852,52.594,255,255
60,57.770,512,315,0,540,360,0,53.000,52.081,255,255
60,57.598,536,586,0,576,614,0,48.826,51.700,255,255
60,53.456,536,586,0,554,632,0,49.396,48.657,255,255
60,52.627,371,698,0,376,655,0,43.290,47.426,255,255
60,48.598,605,515,0,612,507,0,10.630,44.129,255,255
60,48.556,345,460,0,356,416,0,45.354,43.931,255,255
60,47.042,345,702,0,362,740,0,41.629,42.727,255,255
60,46.799,560,407,0,601,421,0,43.324,43.452,255,255
60,46.799,360,414,0,401,428,0,43.324,42.901,255,255
60,46.799,438,723,0,479,715,0,41.773,40.738,255,255
60,46.456,608,410,0,646,391,0,42.485,42.013,255,255
60,43.899,304,538,0,345,543,0,41.304,40.738,255,255
60,43.799,647,308,0,678,329,0,37.443,40.720,255,255
60,42.627,403,740,0,438,723,0,38.910,37.615,255,255
60,41.113,591,331,0,620,356,0,38.288,37.194,255,255
60,39.698,408,384,0,435,409,0,36.797,35.419,255,255
60,39.213,637,434,0,652,401,0,36.249,34.591,255,255
60,38.728,362,647,0,367,612,0,35.355,33.834,255,255
60,38.113,320,728,0,345,702,0,36.069,33.848,255,255
60,37.627,651,396,0,676,374,0,33.302,33.893,255,255
60,37.556,435,409,0,446,442,0,34.785,34.048,255,255
60,37.142,635,467,0,637,434,0,33.061,34.312,255,255
60,36.627,577,525,0,605,511,0,31.305,32.900,255,255
60,35.627,439,662,0,452,638,0,27.295,29.272,255,255
60,35.142,367,612,0,373,581,0,31.575,30.898,255,255
60,35.042,391,711,0,417,692,0,32.202,31.187,255,255
60,34.556,570,359,0,578,330,0,30.083,29.776,255,255
60,34.385,557,330,0,570,359,0,31.780,31.564,255,255
60,34.213,516,546,0,519,574,0,28.160,29.720,255,255
60,33.556,554,632,0,576,614,0,28.425,30.436,255,255
60,33.284,401,428,0,424,450,0,31.828,29.883,255,255
60,32.556,427,689,0,439,662,0,29.547,28.196,255,255
60,31.899,597,543,0,605,515,0,29.120,28.942,255,255
60,31.799,643,341,0,664,358,0,27.019,28.746,255,255
60,31.456,494,526,0,516,546,0,29.732,28.451,255,255
60,31.385,432,657,0,452,638,0,27.586,27.322,255,255
60,31.062,608,410,0,612,382,0,28.284,27.862,255,255
60,31.042,479,715,0,496,691,0,29.411,26.201,255,255
60,30.990,612,382,0,635,375,0,24.042,24.137,255,255
60,30.728,566,561,0,576,535,0,27.857,26.967,255,255
60,30.456,540,360,0,561,380,0,29.000,27.411,255,255
60,30.385,620,356,0,643,341,0,27.459,28.342,255,255
60,30.314,711,267,0,736,263,0,25.318,24.757,255,255
60,30.213,309,557,0,325,580,0,28.018,26.169,255,255
60,29.899,336,748,0,362,740,0,27.203,26.962,255,255
60,29.899,454,680,0,478,674,0,24.739,26.463,255,255
60,29.385,584,578,0,594,555,0,25.080,25.351,255,255
60,29.142,490,501,0,494,526,0,25.318,24.910,255,255
60,28.828,375,742,0,403,740,0,28.071,27.637,255,255
60,28.385,371,698,0,385,676,0,26.077,25.367,255,255
60,28.213,606,456,0,624,475,0,26.173,24.309,255,255
60,27.799,388,368,0,408,384,0,25.612,23.921,255,255
60,27.799,643,341,0,665,347,0,22.804,22.612,255,255
60,27.728,364,557,0,373,581,0,25.632,22.525,255,255
60,27.556,545,485,0,567,481,0,22.361,25.384,255,255
60,27.414,560,407,0,561,380,0,27.019,25.000,255,255
60,27.378,442,700,0,454,680,0,23.324,22.509,255,255
60,27.314,612,382,0,621,359,0,24.698,23.718,255,255
60,26.556,688,327,0,707,331,0,19.416,23.113,255,255
60,26.485,438,454,0,438,478,0,24.000,21.361,255,255
60,26.314,618,498,0,624,475,0,23.770,22.274,255,255
60,26.142,576,614,0,589,595,0,23.022,20.630,255,255
60,25.899,523,575,0,526,552,0,23.195,20.139,255,255
60,25.385,345,543,0,364,557,0,23.601,21.116,255,255
60,25.385,371,698,0,391,711,0,23.854,19.762,255,255
60,25.314,371,698,0,377,720,0,22.804,19.613,255,255
60,25.314,526,650,0,548,642,0,23.409,21.180,255,255
60,25.142,526,552,0,545,564,0,22.472,22.373,255,255
60,25.042,478,674,0,496,691,0,24.759,23.264,255,255
60,24.899,601,421,0,609,442,0,22.472,20.747,255,255
60,24.627,577,572,0,594,555,0,24.042,21.959,255,255
60,24.314,438,721,0,442,700,0,21.378,21.635,255,255
60,24.314,576,535,0,597,543,0,22.472,20.461,255,255
60,23.657,384,655,0,385,676,0,21.024,20.835,255,255
60,23.556,621,359,0,635,375,0,21.260,19.782,255,255
60,23.485,652,401,0,661,419,0,20.125,21.794,255,255
60,23.142,573,376,0,592,368,0,20.616,21.956,255,255
60,22.899,423,470,0,424,450,0,20.025,19.982,255,255
60,22.899,716,298,0,721,318,0,20.616,18.157,255,255
60,22.728,429,702,0,438,721,0,21.024,18.786,255,255
60,22.314,679,338,0,698,338,0,19.000,17.885,255,255
60,21.728,707,331,0,721,318,0,19.105,17.710,255,255
60,21.657,373,740,0,377,720,0,20.396,18.599,255,255
60,21.556,664,358,0,676,374,0,20.000,18.898,255,255
60,21.314,510,666,0,523,653,0,18.385,18.025,255,255
60,21.142,635,375,0,646,391,0,19.416,15.983,255,255
60,21.142,736,263,0,750,276,0,19.105,17.421,255,255
60,21.071,304,538,0,309,557,0,19.647,16.402,255,255
60,20.314,551,447,0,561,462,0,18.028,15.873,255,255
60,20.142,501,660,0,511,644,0,18.868,17.774,255,255
60,20.071,706,285,0,711,267,0,18.682,16.427,255,255
60,19.899,544,430,0,551,447,0,18.385,15.941,255,255
60,19.899,669,342,0,678,329,0,15.811,16.253,255,255
60,19.728,651,434,0,661,419,0,18.028,16.737,255,255
60,19.556,573,376,0,588,387,0,18.601,16.610,255,255
60,19.485,420,688,0,422,671,0,17.117,16.699,255,255
60,18.899,377,720,0,391,711,0,16.643,15.044,255,255
60,18.899,546,482,0,558,471,0,16.279,14.833,255,255
60,18.657,320,728,0,324,745,0,17.464,14.360,255,255
60,18.314,423,470,0,438,478,0,17.000,15.653,255,255
60,18.142,422,671,0,432,657,0,17.205,14.771,255,255
60,18.142,523,575,0,536,586,0,17.029,15.066,255,255
60,17.971,548,642,0,561,654,0,17.692,16.570,255,255
60,17.728,546,416,0,560,407,0,16.643,15.712,255,255
60,17.314,362,647,0,376,655,0,16.125,13.262,255,255
60,17.314,417,692,0,429,702,0,15.620,15.011,255,255
60,17.314,566,561,0,577,572,0,15.556,13.368,255,255
60,17.142,706,285,0,716,298,0,16.401,15.076,255,255
60,16.899,588,387,0,602,380,0,15.652,13.956,255,255
60,16.728,592,368,0,602,380,0,15.620,12.096,255,255
60,16.485,438,454,0,446,442,0,14.422,12.789,255,255
