Skeleton ID,Branch length,V1 x,V1 y,V1 z,V2 x,V2 y,V2 z,Euclidean distance,running average length,average intensity (inner 3rd),average intensity
7,114.640,100,1068,0,143,1164,0,105.190,104.355,255,255
7,12.485,98,1064,0,107,1063,0,9.055,9.698,255,255
7,9.657,100,1068,0,107,1063,0,8.602,6.871,255,255
7,4.828,98,1064,0,100,1068,0,4.472,2.118,255,255
9,168.480,871,525,0,984,425,0,150.894,157.525,255,255
9,133.225,513,1406,0,558,1520,0,122.560,120.501,255,255
9,133.196,841,1288,0,899,1180,0,122.589,122.327,255,255
9,128.449,1437,774,0,1559,766,0,122.262,119.784,255,255
9,128.296,1098,845,0,1189,905,0,109.000,119.711,255,255
9,121.355,237,1296,0,281,1366,0,82.680,114.355,255,255
9,119.012,923,538,0,1027,508,0,108.240,111.391,255,255
9,118.711,1433,1071,0,1529,1123,0,109.179,110.499,255,255
9,118.497,1345,1424,0,1367,1323,0,103.368,108.677,255,255
9,114.024,312,951,0,372,863,0,106.508,106.760,255,255
9,111.326,212,430,0,307,454,0,97.985,102.860,255,255
9,109.983,227,417,0,274,330,0,98.884,102.556,255,255
9,109.782,1259,1262,0,1314,1175,0,102.927,102.227,255,255
9,108.225,111,322,0,156,411,0,99.730,100.027,255,255
9,104.497,950,680,0,1005,610,0,89.022,96.642,255,255
9,103.314,1252,619,0,1254,519,0,100.020,98.594,255,255
9,94.083,1195,323,0,1261,335,0,67.082,87.873,255,255
9,92.711,1121,998,0,1161,1062,0,75.472,87.241,255,255
9,90.569,1067,909,0,1079,977,0,69.051,83.003,255,255
9,90.113,1030,1315,0,1111,1311,0,81.099,83.516,255,255
9,90.012,1705,867,0,1783,896,0,83.217,83.910,255,255
9,89.083,1135,539,0,1185,596,0,75.822,79.886,255,255
9,88.912,1483,1017,0,1551,1057,0,78.892,81.212,255,255
9,88.083,1046,559,0,1119,540,0,75.432,81.225,255,255
9,87.941,1009,1260,0,1087,1240,0,80.523,81.234,255,255
9,87.640,1418,696,0,1465,631,0,80.212,80.234,255,255
9,87.627,742,15,0,823,9,0,81.222,82.405,255,255
9,85.083,280,1276,0,343,1234,0,75.717,77.177,255,255
9,84.426,291,322,0,335,266,0,71.218,76.948,255,255
9,83.627,789,556,0,866,542,0,78.262,79.058,255,255
9,82.255,1393,782,0,1393,851,0,69.000,75.839,255,255
9,81.213,1247,444,0,1254,519,0,75.326,73.353,255,255
9,81.083,340,1296,0,343,1234,0,62.073,75.818,255,255
9,80.698,1235,1229,0,1257,1158,0,74.330,75.083,255,255
9,80.468,1299,1496,0,1354,1443,0,76.381,74.918,255,255
9,79.083,1203,1090,0,1240,1152,0,72.201,71.961,255,255
9,78.912,1162,1279,0,1201,1218,0,72.402,72.714,255,255
9,78.770,1027,508,0,1076,465,0,65.192,73.981,255,255
9,78.497,968,1448,0,992,1501,0,58.181,72.379,255,255
9,78.326,794,74,0,842,126,0,70.767,73.301,255,255
9,78.154,320,768,0,378,725,0,72.201,70.801,255,255
9,77.426,592,379,0,626,318,0,69.836,69.328,255,255
9,77.113,737,1100,0,759,1032,0,71.470,70.841,255,255
9,76.912,838,1593,0,898,1555,0,71.021,71.306,255,255
9,76.426,1087,444,0,1139,410,0,62.129,69.707,255,255
9,74.527,561,1522,0,582,1457,0,68.308,70.038,255,255
9,74.012,193,1074,0,224,1014,0,67.535,67.026,255,255
9,73.841,1325,1381,0,1356,1320,0,68.425,66.863,255,255
9,73.497,1445,743,0,1478,688,0,64.140,70.117,255,255
9,73.326,991,256,0,1032,310,0,67.801,68.476,255,255
9,73.113,650,450,0,710,432,0,62.642,67.658,255,255
9,72.912,204,558,0,244,504,0,67.201,66.212,255,255
9,72.669,911,1371,0,946,1314,0,66.888,65.718,255,255
9,72.255,304,1351,0,340,1296,0,65.734,64.170,255,255
9,71.426,760,1385,0,819,1355,0,66.189,64.756,255,255
9,71.184,1395,240,0,1425,295,0,62.650,64.673,255,255
9,70.971,1272,1439,0,1337,1434,0,65.192,66.578,255,255
9,70.912,395,1353,0,438,1402,0,65.192,63.848,255,255
9,70.841,182,1116,0,194,1159,0,44.643,66.726,255,255
9,70.841,747,906,0,793,865,0,61.620,64.705,255,255
9,70.426,823,9,0,858,62,0,63.514,62.854,255,255
9,70.385,1418,696,0,1431,761,0,66.287,65.682,255,255
9,69.841,613,1356,0,665,1388,0,61.057,63.001,255,255
9,69.355,946,949,0,974,939,0,29.732,63.382,255,255
9,69.314,229,1230,0,237,1296,0,66.483,63.922,255,255
9,69.083,644,1498,0,680,1445,0,64.070,64.328,255,255
9,68.941,1068,1075,0,1122,1086,0,55.109,63.847,255,255
9,68.770,1340,600,0,1366,542,0,63.561,64.388,255,255
9,68.740,272,198,0,325,236,0,65.215,65.860,255,255
9,68.740,597,1542,0,644,1498,0,64.382,65.442,255,255
9,68.355,1047,1141,0,1048,1083,0,58.009,60.668,255,255
9,68.142,1705,855,0,1769,857,0,64.031,63.006,255,255
9,68.071,264,197,0,265,263,0,66.008,63.540,255,255
9,67.941,999,1362,0,1030,1315,0,56.303,62.536,255,255
9,67.941,750,490,0,808,476,0,59.666,63.153,255,255
9,66.941,818,1147,0,874,1122,0,61.327,63.043,255,255
9,66.870,1384,969,0,1408,915,0,59.093,61.372,255,255
9,66.698,1208,1530,0,1264,1507,0,60.539,62.593,255,255
9,66.284,1215,1287,0,1235,1229,0,61.351,60.966,255,255
9,66.113,798,598,0,824,651,0,59.034,60.380,255,255
9,66.042,743,1414,0,802,1405,0,59.682,58.118,255,255
9,65.698,378,725,0,400,673,0,56.462,59.174,255,255
9,65.627,1164,1173,0,1223,1167,0,59.304,61.154,255,255
9,65.598,861,13,0,872,66,0,54.129,57.791,255,255
9,65.598,925,1172,0,948,1149,0,32.527,60.229,255,255
9,65.385,1365,286,0,1425,295,0,60.671,60.638,255,255
9,65.184,1003,423,0,1037,376,0,58.009,60.049,255,255
9,64.941,690,1440,0,743,1414,0,59.034,59.229,255,255
9,64.870,824,651,0,845,596,0,58.873,58.748,255,255
9,64.841,912,892,0,961,858,0,59.641,56.514,255,255
9,64.698,372,863,0,387,917,0,56.045,59.944,255,255
9,64.426,1465,631,0,1495,625,0,30.594,58.368,255,255
9,64.142,1555,1008,0,1615,1018,0,60.828,59.276,255,255
9,63.243,776,915,0,838,914,0,62.008,61.119,255,255
9,63.184,782,268,0,833,240,0,58.181,57.541,255,255
9,63.113,821,773,0,875,751,0,58.310,58.554,255,255
9,62.899,1303,299,0,1363,304,0,60.208,59.676,255,255
9,62.527,131,527,0,156,476,0,56.798,54.697,255,255
9,62.385,1520,859,0,1577,846,0,58.464,57.635,255,255
9,62.314,1377,906,0,1381,847,0,59.135,58.617,255,255
9,61.870,1260,1156,0,1314,1175,0,57.245,53.988,255,255
9,61.485,816,747,0,818,688,0,59.034,57.652,255,255
9,61.456,791,584,0,845,596,0,55.317,55.503,255,255
9,61.426,748,41,0,794,74,0,56.613,53.638,255,255
9,60.870,408,520,0,461,505,0,55.082,56.008,255,255
9,60.841,825,343,0,871,376,0,56.613,56.105,255,255
9,60.184,778,443,0,804,395,0,54.589,54.718,255,255
9,60.113,636,607,0,659,563,0,49.649,54.034,255,255
9,60.113,1201,1218,0,1223,1167,0,55.543,54.747,255,255
9,60.113,442,1405,0,465,1455,0,55.036,55.389,255,255
9,59.971,537,375,0,592,379,0,55.145,55.679,255,255
9,59.841,1003,1492,0,1048,1459,0,55.803,53.351,255,255
9,59.770,687,605,0,720,567,0,50.329,55.054,255,255
9,59.770,833,1077,0,872,1113,0,53.075,54.582,255,255
9,59.456,1325,1381,0,1337,1429,0,49.477,55.090,255,255
9,58.841,271,566,0,310,604,0,54.452,53.977,255,255
9,58.770,1136,935,0,1183,912,0,52.326,53.477,255,255
9,58.627,1089,1371,0,1141,1385,0,53.852,54.629,255,255
9,58.527,1142,291,0,1187,266,0,51.478,54.985,255,255
9,58.355,551,501,0,580,457,0,52.697,52.329,255,255
9,58.284,480,1282,0,501,1331,0,53.310,52.141,255,255
9,58.113,256,987,0,305,965,0,53.712,51.940,255,255
9,57.841,420,156,0,455,197,0,53.907,52.445,255,255
9,57.728,665,1388,0,668,1334,0,54.083,52.978,255,255
9,57.627,1261,1416,0,1265,1365,0,51.157,51.611,255,255
9,57.627,1079,977,0,1094,927,0,52.202,51.743,255,255
9,57.527,961,858,0,1000,840,0,42.953,52.248,255,255
9,57.456,1263,1310,0,1313,1300,0,50.990,51.216,255,255
9,57.426,1670,1080,0,1713,1048,0,53.600,52.291,255,255
9,57.184,671,722,0,713,753,0,52.202,52.964,255,255
9,57.042,520,1195,0,533,1145,0,51.662,50.207,255,255
9,56.971,1183,1566,0,1235,1564,0,52.038,51.889,255,255
9,56.941,385,288,0,432,312,0,52.773,50.869,255,255
9,56.899,1054,293,0,1108,300,0,54.452,53.888,255,255
9,56.899,845,1177,0,899,1180,0,54.083,51.741,255,255
9,56.799,1402,1015,0,1416,1066,0,52.887,52.964,255,255
9,56.799,1512,868,0,1549,894,0,45.222,52.027,255,255
9,56.770,393,382,0,422,339,0,51.865,50.847,255,255
9,56.556,1022,927,0,1067,909,0,48.466,53.581,255,255
9,56.527,1023,246,0,1069,224,0,50.990,51.261,255,255
9,56.456,1118,1296,0,1162,1279,0,47.170,51.767,255,255
9,56.213,695,143,0,712,191,0,50.922,51.310,255,255
9,56.142,1673,1112,0,1725,1122,0,52.953,52.235,255,255
9,55.870,1286,860,0,1298,877,0,20.809,50.448,255,255
9,55.385,1095,895,0,1098,845,0,50.090,49.666,255,255
9,55.243,1584,845,0,1638,846,0,54.009,52.657,255,255
9,55.213,858,62,0,861,13,0,49.092,51.371,255,255
9,55.042,309,351,0,357,338,0,49.729,48.664,255,255
9,54.941,636,1282,0,665,1322,0,49.406,49.252,255,255
9,54.899,287,1086,0,294,1034,0,52.469,50.738,255,255
9,54.870,754,931,0,777,974,0,48.765,50.086,255,255
9,54.799,1306,774,0,1354,777,0,48.094,50.600,255,255
9,54.598,1194,254,0,1232,231,0,44.418,49.146,255,255
9,54.355,676,552,0,720,567,0,46.487,50.685,255,255
9,54.284,1469,794,0,1505,822,0,45.607,46.059,255,255
9,54.184,1203,1087,0,1230,1044,0,50.774,50.886,255,255
9,54.184,1020,1588,0,1063,1561,0,50.774,50.092,255,255
9,54.142,1134,1429,0,1136,1479,0,50.040,51.164,255,255
9,54.142,1429,347,0,1430,298,0,49.010,49.344,255,255
9,54.042,909,177,0,955,169,0,46.690,49.143,255,255
9,53.941,828,401,0,871,376,0,49.739,49.729,255,255
9,53.941,1642,849,0,1681,872,0,45.277,50.019,255,255
9,53.728,470,1186,0,520,1195,0,50.804,50.678,255,255
9,53.698,631,956,0,654,917,0,45.277,49.861,255,255
9,53.598,1085,1448,0,1125,1418,0,50.000,50.102,255,255
9,53.556,574,1177,0,583,1128,0,49.820,48.422,255,255
9,53.385,1390,585,0,1393,537,0,48.094,47.181,255,255
9,53.284,469,721,0,513,742,0,48.754,48.569,255,255
9,53.184,1161,1062,0,1203,1087,0,48.877,49.105,255,255
9,53.012,1147,236,0,1187,266,0,50.000,46.456,255,255
9,52.598,1363,304,0,1403,333,0,49.406,47.750,255,255
9,52.556,357,1390,0,366,1342,0,48.836,48.825,255,255
9,52.355,237,157,0,264,197,0,48.260,46.664,255,255
9,52.355,1066,372,0,1091,414,0,48.877,48.454,255,255
9,52.213,568,1414,0,582,1457,0,45.222,48.024,255,255
