 ,# Branches,# Junctions,# End-point voxels,# Junction voxels,# Slab voxels,Average Branch Length,# Triple points,# Quadruple points,Maximum Branch Length
1,1,0,1,0,0,9.66,0,0,9.66
2,1,0,1,0,0,39.04,0,0,39.04
3,1,0,1,0,0,8.07,0,0,8.07
4,1,0,1,0,0,9.66,0,0,9.66
5,1,0,1,0,0,3.83,0,0,3.83
6,1,0,1,0,0,2.00,0,0,2.00
7,8,4,0,12,109,39.97,1,0,114.64
8,3,1,0,3,0,27.25,0,0,33.28
9,3529,1979,0,3893,44755,22.87,1112,38,168.48
10,1,0,1,0,0,1.00,0,0,1.00
11,1,0,1,0,0,18.07,0,0,18.07
12,1,0,1,0,0,2.00,0,0,2.00
13,1,0,1,0,0,15.07,0,0,15.07
14,1,0,1,0,0,33.49,0,0,33.49
15,1,0,1,0,0,5.83,0,0,5.83
16,1,0,1,0,0,13.90,0,0,13.90
17,1,0,1,0,0,1.00,0,0,1.00
18,1,0,1,0,0,4.24,0,0,4.24
19,1,0,1,0,0,24.07,0,0,24.07
20,0,0,1,0,0,0.00,0,0,0.00
21,1,0,1,0,0,14.07,0,0,14.07
22,1,0,1,0,0,26.49,0,0,26.49
23,1,0,1,0,0,2.41,0,0,2.41
24,1,0,1,0,0,27.31,0,0,27.31
25,1,0,1,0,0,19.14,0,0,19.14
26,1,0,1,0,0,5.66,0,0,5.66
27,1,0,1,0,0,5.24,0,0,5.24
28,1,0,1,0,0,6.24,0,0,6.24
29,1,0,1,0,0,24.83,0,0,24.83
30,1,0,1,0,0,20.90,0,0,20.90
31,1,0,1,0,0,3.41,0,0,3.41
32,1,0,1,0,0,5.41,0,0,5.41
33,1,0,1,0,0,20.73,0,0,20.73
34,1,0,1,0,0,6.24,0,0,6.24
35,1,0,1,0,0,7.66,0,0,7.66
36,3,1,0,1,0,19.15,0,0,23.49
37,1,0,1,0,0,26.49,0,0,26.49
38,1,0,1,0,0,2.00,0,0,2.00
39,5,2,0,4,28,24.91,0,0,57.84
40,1,0,1,0,0,32.14,0,0,32.14
41,3,1,0,1,0,24.20,0,0,65.53
42,1,0,1,0,0,1.41,0,0,1.41
43,1,0,1,0,0,3.00,0,0,3.00
44,1,0,1,0,0,7.24,0,0,7.24
45,1,0,1,0,0,8.07,0,0,8.07
46,1,0,1,0,0,25.73,0,0,25.73
47,1,0,1,0,0,22.07,0,0,22.07
48,1,0,1,0,0,7.00,0,0,7.00
49,1,0,1,0,0,6.24,0,0,6.24
50,1,0,1,0,0,28.56,0,0,28.56
51,1,0,1,0,0,15.07,0,0,15.07
52,1,0,1,0,0,22.56,0,0,22.56
53,1,0,1,0,0,27.97,0,0,27.97
54,1,0,1,0,0,20.73,0,0,20.73
55,1,0,1,0,0,8.00,0,0,8.00
56,1,0,1,0,0,8.24,0,0,8.24
57,1,0,1,0,0,10.07,0,0,10.07
58,1,0,1,0,0,7.83,0,0,7.83
59,1,0,1,0,0,3.41,0,0,3.41
60,0,0,1,0,0,0.00,0,0,0.00
61,5,2,0,4,1,10.93,0,0,16.24
62,1,0,1,0,0,16.24,0,0,16.24
63,1,0,1,0,0,6.41,0,0,6.41
64,1,0,1,0,0,27.97,0,0,27.97
65,1,0,1,0,0,5.83,0,0,5.83
66,1,0,1,0,0,4.24,0,0,4.24
67,1,0,1,0,0,2.83,0,0,2.83
68,3,1,0,1,0,8.58,0,0,12.24
69,1,0,1,0,0,19.97,0,0,19.97
70,0,0,1,0,0,0.00,0,0,0.00
71,3,1,0,1,0,11.32,0,0,15.90
72,1,0,1,0,0,3.83,0,0,3.83
73,1,0,1,0,0,1.00,0,0,1.00
74,1,0,1,0,0,11.66,0,0,11.66
75,1,0,1,0,0,18.49,0,0,18.49
76,1,0,1,0,0,5.00,0,0,5.00
77,1,0,1,0,0,9.83,0,0,9.83
78,1,0,1,0,0,9.24,0,0,9.24
79,1,0,1,0,0,12.24,0,0,12.24
80,1,0,1,0,0,6.83,0,0,6.83
81,1,0,1,0,0,13.49,0,0,13.49
82,1,0,1,0,0,6.83,0,0,6.83
83,1,0,1,0,0,2.83,0,0,2.83
84,1,0,1,0,0,4.83,0,0,4.83
85,1,0,1,0,0,34.49,0,0,34.49
86,1,0,1,0,0,4.41,0,0,4.41
87,1,0,1,0,0,32.14,0,0,32.14
88,1,0,1,0,0,13.31,0,0,13.31
89,1,0,1,0,0,10.41,0,0,10.41
90,1,0,1,0,0,12.07,0,0,12.07
91,1,0,1,0,0,14.90,0,0,14.90
92,1,0,1,0,0,2.41,0,0,2.41
93,1,0,1,0,0,9.07,0,0,9.07
94,1,0,1,0,0,5.83,0,0,5.83
95,1,0,1,0,0,18.97,0,0,18.97
96,1,0,1,0,0,25.56,0,0,25.56
97,1,0,1,0,0,7.07,0,0,7.07
98,1,0,1,0,0,13.07,0,0,13.07
99,1,0,1,0,0,15.49,0,0,15.49
100,1,0,1,0,0,15.66,0,0,15.66
101,1,0,1,0,0,2.00,0,0,2.00
102,0,0,1,0,0,0.00,0,0,0.00
103,0,0,1,0,0,0.00,0,0,0.00
104,1,0,1,0,0,10.66,0,0,10.66
105,1,0,1,0,0,14.66,0,0,14.66
106,1,0,1,0,0,4.24,0,0,4.24
107,1,0,1,0,0,1.41,0,0,1.41
108,1,0,1,0,0,14.07,0,0,14.07
109,1,0,1,0,0,1.41,0,0,1.41
110,1,0,1,0,0,3.00,0,0,3.00
111,1,0,1,0,0,1.00,0,0,1.00
112,1,0,1,0,0,18.90,0,0,18.90
113,1,0,1,0,0,7.24,0,0,7.24
114,1,0,1,0,0,13.83,0,0,13.83
115,1,0,1,0,0,1.00,0,0,1.00
116,1,0,1,0,0,8.66,0,0,8.66
117,1,0,1,0,0,6.41,0,0,6.41
118,1,0,1,0,0,11.90,0,0,11.90
119,0,0,1,0,0,0.00,0,0,0.00
120,1,0,1,0,0,1.00,0,0,1.00
121,1,0,1,0,0,10.83,0,0,10.83
122,1,0,1,0,0,5.24,0,0,5.24
123,1,0,1,0,0,1.00,0,0,1.00
124,1,0,1,0,0,12.07,0,0,12.07
125,1,0,1,0,0,1.00,0,0,1.00
126,0,0,1,0,0,0.00,0,0,0.00
127,1,0,1,0,0,2.83,0,0,2.83
128,1,0,1,0,0,5.24,0,0,5.24
129,1,0,1,0,0,1.00,0,0,1.00
130,1,0,1,0,0,2.83,0,0,2.83
131,1,0,1,0,0,14.24,0,0,14.24
132,1,0,1,0,0,13.49,0,0,13.49
133,1,0,1,0,0,2.41,0,0,2.41
134,3,1,0,3,0,3.97,0,0,5.24
135,1,0,1,0,0,11.07,0,0,11.07
136,1,0,1,0,0,24.31,0,0,24.31
137,1,0,1,0,0,12.24,0,0,12.24
138,1,0,1,0,0,36.07,0,0,36.07
139,1,0,1,0,0,16.07,0,0,16.07
140,1,0,1,0,0,5.83,0,0,5.83
141,1,0,1,0,0,1.00,0,0,1.00
142,0,0,1,0,0,0.00,0,0,0.00
143,1,0,1,0,0,2.41,0,0,2.41
144,1,0,1,0,0,1.00,0,0,1.00
145,1,0,1,0,0,3.83,0,0,3.83
146,1,0,1,0,0,1.00,0,0,1.00
147,1,0,1,0,0,4.00,0,0,4.00
148,0,0,1,0,0,0.00,0,0,0.00
149,1,0,1,0,0,3.83,0,0,3.83
150,1,0,1,0,0,3.41,0,0,3.41
151,1,0,1,0,0,9.49,0,0,9.49
152,0,0,1,0,0,0.00,0,0,0.00
153,1,0,1,0,0,44.07,0,0,44.07
154,1,0,1,0,0,35.90,0,0,35.90
155,1,0,1,0,0,14.90,0,0,14.90
156,1,0,1,0,0,16.66,0,0,16.66
157,1,0,1,0,0,6.24,0,0,6.24
158,1,0,1,0,0,9.83,0,0,9.83
159,1,0,1,0,0,7.41,0,0,7.41
160,1,0,1,0,0,1.41,0,0,1.41
161,1,0,1,0,0,1.00,0,0,1.00
162,1,0,1,0,0,3.41,0,0,3.41
163,1,0,1,0,0,3.41,0,0,3.41
164,1,0,1,0,0,1.41,0,0,1.41
165,0,0,1,0,0,0.00,0,0,0.00
166,0,0,1,0,0,0.00,0,0,0.00
167,1,0,1,0,0,1.00,0,0,1.00
168,1,0,1,0,0,9.41,0,0,9.41
169,1,0,1,0,0,9.49,0,0,9.49
170,1,0,1,0,0,11.83,0,0,11.83
171,1,0,1,0,0,20.90,0,0,20.90
172,1,0,1,0,0,15.49,0,0,15.49
173,1,0,1,0,0,7.66,0,0,7.66
174,1,0,1,0,0,10.24,0,0,10.24
175,1,0,1,0,0,1.00,0,0,1.00
176,1,0,1,0,0,8.66,0,0,8.66
177,1,0,1,0,0,5.41,0,0,5.41
178,1,0,1,0,0,12.83,0,0,12.83
179,1,0,1,0,0,8.83,0,0,8.83
180,1,0,1,0,0,5.00,0,0,5.00
181,1,0,1,0,0,20.31,0,0,20.31
182,1,0,1,0,0,5.41,0,0,5.41
183,5,2,0,5,35,20.88,0,0,43.46
