 ,# Branches,# Junctions,# End-point voxels,# Junction voxels,# Slab voxels,Average Branch Length,# Triple points,# Quadruple points,Maximum Branch Length
1,6582,3885,0,7770,79788,19.61,2721,174,161.71
2,1,0,1,0,0,6.41,0,0,6.41
3,1,0,1,0,0,6.24,0,0,6.24
4,1,0,1,0,0,40.38,0,0,40.38
5,1,0,1,0,0,3.41,0,0,3.41
6,0,0,1,0,0,0.00,0,0,0.00
7,1,0,1,0,0,82.84,0,0,82.84
8,0,0,1,0,0,0.00,0,0,0.00
9,1,0,1,0,0,10.24,0,0,10.24
10,1,0,1,0,0,27.21,0,0,27.21
11,1,0,1,0,0,1.00,0,0,1.00
12,1,0,1,0,0,24.80,0,0,24.80
13,1,0,1,0,0,1.00,0,0,1.00
14,1,0,1,0,0,10.90,0,0,10.90
15,1,0,1,0,0,1.41,0,0,1.41
16,1,0,1,0,0,13.49,0,0,13.49
17,1,0,1,0,0,1.00,0,0,1.00
18,3,1,0,3,0,23.35,0,0,46.97
19,1,0,1,0,0,5.00,0,0,5.00
20,1,0,1,0,0,2.41,0,0,2.41
21,1,0,1,0,0,2.41,0,0,2.41
22,1,0,1,0,0,14.49,0,0,14.49
23,1,0,1,0,0,1.00,0,0,1.00
24,1,0,1,0,0,5.66,0,0,5.66
25,1,0,1,0,0,11.90,0,0,11.90
26,1,0,1,0,0,1.41,0,0,1.41
27,3,1,0,1,0,10.79,0,0,17.31
28,1,0,1,0,0,6.83,0,0,6.83
29,1,0,1,0,0,4.41,0,0,4.41
30,1,0,1,0,0,11.24,0,0,11.24
31,1,0,1,0,0,2.83,0,0,2.83
32,1,0,1,0,0,10.41,0,0,10.41
33,1,0,1,0,0,18.90,0,0,18.90
34,1,0,1,0,0,31.66,0,0,31.66
35,1,0,1,0,0,6.83,0,0,6.83
36,1,0,1,0,0,10.24,0,0,10.24
37,1,0,1,0,0,19.49,0,0,19.49
38,1,0,1,0,0,1.00,0,0,1.00
39,1,0,1,0,0,3.83,0,0,3.83
40,1,0,1,0,0,5.24,0,0,5.24
41,1,0,1,0,0,6.24,0,0,6.24
42,1,0,1,0,0,17.83,0,0,17.83
43,1,0,1,0,0,3.83,0,0,3.83
44,0,0,1,0,0,0.00,0,0,0.00
45,1,0,1,0,0,1.00,0,0,1.00
46,1,0,1,0,0,10.90,0,0,10.90
47,1,0,1,0,0,7.24,0,0,7.24
48,1,0,1,0,0,6.83,0,0,6.83
49,1,0,1,0,0,11.66,0,0,11.66
50,1,0,1,0,0,2.83,0,0,2.83
51,1,0,1,0,0,9.41,0,0,9.41
52,1,0,1,0,0,1.41,0,0,1.41
53,1,0,1,0,0,32.31,0,0,32.31
54,0,0,1,0,0,0.00,0,0,0.00
55,1,0,1,0,0,1.41,0,0,1.41
56,1,0,1,0,0,15.49,0,0,15.49
57,1,0,1,0,0,11.66,0,0,11.66
58,0,0,1,0,0,0.00,0,0,0.00
59,1,0,1,0,0,19.07,0,0,19.07
60,1,0,1,0,0,1.00,0,0,1.00
61,1,0,1,0,0,4.24,0,0,4.24
62,3,1,0,3,0,16.93,0,0,37.31
63,0,0,1,0,0,0.00,0,0,0.00
64,1,0,1,0,0,5.41,0,0,5.41
65,0,0,1,0,0,0.00,0,0,0.00
66,1,0,1,0,0,1.00,0,0,1.00
67,1,0,1,0,0,3.00,0,0,3.00
68,0,0,1,0,0,0.00,0,0,0.00
69,1,0,1,0,0,10.07,0,0,10.07
70,1,0,1,0,0,27.46,0,0,27.46
71,1,0,1,0,0,3.83,0,0,3.83
72,1,0,1,0,0,1.41,0,0,1.41
73,1,0,1,0,0,19.83,0,0,19.83
74,1,0,1,0,0,5.83,0,0,5.83
75,1,0,1,0,0,8.00,0,0,8.00
76,1,0,1,0,0,5.41,0,0,5.41
77,1,0,1,0,0,17.49,0,0,17.49
78,0,0,1,0,0,0.00,0,0,0.00
79,1,0,1,0,0,2.41,0,0,2.41
80,1,0,1,0,0,29.24,0,0,29.24
81,1,0,1,0,0,4.24,0,0,4.24
82,0,0,1,0,0,0.00,0,0,0.00
83,0,0,1,0,0,0.00,0,0,0.00
84,1,0,1,0,0,7.24,0,0,7.24
85,1,0,1,0,0,10.24,0,0,10.24
86,0,0,1,0,0,0.00,0,0,0.00
87,1,0,1,0,0,17.07,0,0,17.07
88,1,0,1,0,0,13.24,0,0,13.24
89,1,0,1,0,0,23.49,0,0,23.49
90,1,0,1,0,0,6.24,0,0,6.24
91,1,0,1,0,0,4.24,0,0,4.24
92,1,0,1,0,0,5.66,0,0,5.66
93,1,0,1,0,0,12.07,0,0,12.07
94,1,0,1,0,0,1.41,0,0,1.41
95,1,0,1,0,0,6.24,0,0,6.24
96,0,0,1,0,0,0.00,0,0,0.00
97,1,0,1,0,0,17.07,0,0,17.07
98,1,0,1,0,0,4.00,0,0,4.00
99,1,0,1,0,0,10.41,0,0,10.41
100,1,0,1,0,0,16.31,0,0,16.31
101,1,0,1,0,0,1.41,0,0,1.41
102,1,0,1,0,0,2.41,0,0,2.41
103,0,0,1,0,0,0.00,0,0,0.00
104,1,0,1,0,0,59.46,0,0,59.46
105,1,0,1,0,0,10.24,0,0,10.24
106,1,0,1,0,0,17.07,0,0,17.07
107,1,0,1,0,0,27.14,0,0,27.14
108,1,0,1,0,0,1.00,0,0,1.00
109,1,0,1,0,0,2.83,0,0,2.83
110,1,0,1,0,0,3.83,0,0,3.83
111,1,0,1,0,0,1.00,0,0,1.00
112,1,0,1,0,0,1.00,0,0,1.00
113,3,1,0,3,0,5.58,0,0,6.66
114,1,0,1,0,0,1.00,0,0,1.00
115,1,0,1,0,0,4.41,0,0,4.41
116,1,0,1,0,0,11.24,0,0,11.24
117,1,0,1,0,0,2.83,0,0,2.83
118,1,0,1,0,0,18.31,0,0,18.31
119,1,0,1,0,0,5.24,0,0,5.24
120,1,0,1,0,0,26.14,0,0,26.14
121,1,0,1,0,0,4.83,0,0,4.83
122,1,0,1,0,0,6.83,0,0,6.83
123,1,0,1,0,0,1.00,0,0,1.00
124,3,1,0,3,0,18.01,0,0,31.90
125,1,0,1,0,0,1.00,0,0,1.00
126,1,0,1,0,0,1.00,0,0,1.00
127,1,0,1,0,0,3.41,0,0,3.41
128,1,0,1,0,0,15.31,0,0,15.31
129,1,0,1,0,0,4.00,0,0,4.00
130,1,0,1,0,0,1.41,0,0,1.41
131,1,0,1,0,0,3.83,0,0,3.83
132,3,1,0,1,0,14.57,0,0,22.73
133,1,0,1,0,0,1.00,0,0,1.00
134,1,0,1,0,0,3.41,0,0,3.41
135,0,0,1,0,0,0.00,0,0,0.00
136,1,0,1,0,0,3.83,0,0,3.83
137,1,0,1,0,0,1.41,0,0,1.41
138,1,0,1,0,0,17.31,0,0,17.31
139,1,0,1,0,0,1.00,0,0,1.00
140,0,0,1,0,0,0.00,0,0,0.00
141,3,1,0,1,0,33.92,0,0,45.63
142,1,0,1,0,0,1.41,0,0,1.41
143,0,0,1,0,0,0.00,0,0,0.00
