Skeleton ID,Branch length,V1 x,V1 y,V1 z,V2 x,V2 y,V2 z,Euclidean distance,running average length,average intensity (inner 3rd),average intensity
5,298.836,1637,493,0,1706,398,0,117.414,277.446,255,255
5,144.941,1760,860,0,1780,725,0,136.473,138.679,255,255
5,138.640,1086,1069,0,1131,949,0,128.160,128.505,255,255
5,131.196,448,623,0,490,683,0,73.239,122.648,255,255
5,128.225,859,665,0,941,733,0,106.527,118.809,255,255
5,121.012,860,778,0,969,801,0,111.400,111.450,255,255
5,120.598,1019,658,0,1128,634,0,111.611,112.947,255,255
5,118.468,636,642,0,682,734,0,102.859,109.723,255,255
5,116.983,1446,911,0,1451,813,0,98.127,108.364,255,255
5,112.539,1204,714,0,1267,652,0,88.391,104.134,255,255
5,110.468,1485,1019,0,1576,1008,0,91.662,103.053,255,255
5,105.941,990,1055,0,1086,1069,0,97.015,98.482,255,255
5,102.385,712,983,0,809,988,0,97.129,97.084,255,255
5,101.539,1352,806,0,1417,739,0,93.349,94.349,255,255
5,101.497,1710,383,0,1726,309,0,75.710,92.543,255,255
5,101.255,880,623,0,949,648,0,73.389,91.513,255,255
5,98.042,413,952,0,428,863,0,90.255,91.576,255,255
5,95.397,916,1096,0,959,1173,0,88.193,87.455,255,255
5,95.125,1577,1127,0,1634,1059,0,88.730,87.887,255,255
5,95.083,41,447,0,44,469,0,22.204,89.126,255,255
5,90.569,1074,873,0,1118,943,0,82.680,83.208,255,255
5,89.083,967,680,0,1002,754,0,81.860,81.631,255,255
5,88.042,545,991,0,626,978,0,82.037,80.936,255,255
5,87.669,1355,1031,0,1392,995,0,51.624,80.975,255,255
5,83.598,1577,577,0,1643,545,0,73.348,76.753,255,255
5,83.598,1257,613,0,1311,647,0,63.812,76.243,255,255
5,83.255,367,824,0,406,763,0,72.402,77.395,255,255
5,82.841,1160,647,0,1221,621,0,66.310,76.615,255,255
5,82.770,1459,1187,0,1527,1189,0,68.029,75.984,255,255
5,82.740,728,588,0,768,649,0,72.945,77.534,255,255
5,81.355,880,623,0,949,648,0,73.389,76.357,255,255
5,81.284,490,466,0,498,393,0,73.437,76.158,255,255
5,80.255,559,954,0,590,894,0,67.535,73.494,255,255
5,80.113,960,683,0,982,754,0,74.330,73.658,255,255
5,80.047,868,1154,0,916,1096,0,75.286,73.641,255,255
5,79.941,970,1152,0,1038,1136,0,69.857,72.734,255,255
5,79.598,941,733,0,969,801,0,73.539,72.636,255,255
5,79.556,559,954,0,634,951,0,75.060,74.673,255,255
5,79.355,1179,783,0,1204,714,0,73.389,73.339,255,255
5,79.326,1557,963,0,1612,925,0,66.851,73.247,255,255
5,78.569,32,592,0,32,650,0,58.000,75.825,255,255
5,78.527,659,582,0,710,593,0,52.173,74.042,255,255
5,78.083,48,473,0,104,515,0,70.000,71.963,255,255
5,77.971,320,798,0,328,725,0,73.437,72.499,255,255
5,77.012,1396,955,0,1450,953,0,54.037,71.738,255,255
5,76.740,1240,1066,0,1279,1126,0,71.561,70.594,255,255
5,76.556,648,1095,0,720,1104,0,72.560,72.642,255,255
5,76.497,355,751,0,389,690,0,69.836,70.691,255,255
5,76.284,1201,1140,0,1269,1156,0,69.857,69.013,255,255
5,75.326,1675,886,0,1734,898,0,60.208,69.297,255,255
5,75.255,326,465,0,352,403,0,67.231,69.228,255,255
5,75.184,1357,808,0,1418,792,0,63.063,67.808,255,255
5,74.527,529,744,0,593,728,0,65.970,70.912,255,255
5,74.284,668,1148,0,734,1128,0,68.964,67.625,255,255
5,74.042,735,857,0,802,874,0,69.123,69.013,255,255
5,73.426,413,663,0,453,714,0,64.815,66.713,255,255
5,72.355,353,832,0,413,857,0,65.000,67.914,255,255
