 ,# Branches,# Junctions,# End-point voxels,# Junction voxels,# Slab voxels,Average Branch Length,# Triple points,# Quadruple points,Maximum Branch Length
1,21,12,0,21,400,31.21,8,0,72.76
2,1,0,1,0,0,1.00,0,0,1.00
3,1,0,1,0,0,24.90,0,0,24.90
4,1,0,1,0,0,5.66,0,0,5.66
5,59,34,0,64,737,20.97,20,0,60.04
6,3,1,0,3,0,26.43,0,0,56.38
7,1,0,1,0,0,7.00,0,0,7.00
8,19,10,0,14,164,17.98,6,0,46.21
9,1,0,1,0,0,7.66,0,0,7.66
10,1,0,1,0,0,2.00,0,0,2.00
11,1,0,1,0,0,8.41,0,0,8.41
12,1,0,1,0,0,30.14,0,0,30.14
13,76,40,0,80,1302,36.85,20,1,195.50
14,1,0,1,0,0,1.00,0,0,1.00
15,1,0,1,0,0,1.00,0,0,1.00
16,1,0,1,0,0,17.73,0,0,17.73
17,15,7,0,13,170,26.10,0,0,139.44
18,1,0,1,0,0,9.24,0,0,9.24
19,1,0,1,0,0,34.56,0,0,34.56
20,1,0,1,0,0,2.41,0,0,2.41
21,1,0,1,0,0,1.00,0,0,1.00
22,1,0,1,0,0,9.66,0,0,9.66
23,3,1,0,3,0,7.91,0,0,10.07
24,3,1,0,3,0,20.57,0,0,28.56
25,1,0,1,0,0,4.24,0,0,4.24
26,1,0,1,0,0,9.24,0,0,9.24
27,3,1,0,1,0,13.43,0,0,21.97
28,1,0,1,0,0,7.66,0,0,7.66
29,1,0,1,0,0,14.49,0,0,14.49
30,1,0,1,0,0,4.24,0,0,4.24
31,1,0,1,0,0,6.24,0,0,6.24
32,3,1,0,1,0,28.03,0,0,44.11
33,1,0,1,0,0,21.49,0,0,21.49
34,1,0,1,0,0,13.66,0,0,13.66
35,3,1,0,1,0,55.67,0,0,107.67
36,1,0,1,0,0,1.00,0,0,1.00
37,0,0,1,0,0,0.00,0,0,0.00
38,1,0,1,0,0,8.07,0,0,8.07
39,1,0,1,0,0,1.00,0,0,1.00
40,3,1,0,1,0,6.63,0,0,8.41
41,0,0,1,0,0,0.00,0,0,0.00
42,3,1,0,1,0,23.96,0,0,51.63
43,0,0,1,0,0,0.00,0,0,0.00
44,1,0,1,0,0,6.41,0,0,6.41
45,1,0,1,0,0,6.66,0,0,6.66
46,1,0,1,0,0,16.49,0,0,16.49
47,1,0,1,0,0,6.83,0,0,6.83
48,1,0,1,0,0,54.80,0,0,54.80
