 ,Feret,FeretX,FeretY,FeretAngle,MinFeret
1,2.24,862,1230,153.43,1.00
2,1.41,1498,770,135.00,1.00
3,4.47,974,519,116.57,1.90
4,3.16,1361,1375,161.57,1.00
5,8.60,336,903,144.46,2.00
6,1.41,257,452,135.00,1.00
7,3.61,1289,1220,146.31,1.79
8,2.24,972,641,153.43,1.00
9,2.24,1253,569,153.43,1.00
10,3.16,1071,1316,108.43,1.00
11,2.24,1080,540,116.57,1.00
12,6.32,1048,1252,108.43,1.96
13,10.05,782,2,95.71,1.00
14,8.25,1244,483,14.04,1.98
15,13.60,1244,1193,162.90,1.94
16,5.00,1220,1123,36.87,1.79
17,5.00,1182,1249,143.13,1.94
18,8.49,820,99,45.00,1.41
19,5.83,602,345,149.04,1.79
20,5.39,745,1065,158.20,1.90
21,2.83,868,1574,135.00,1.41
22,8.06,1340,1350,150.26,1.79
23,1.41,1453,710,135.00,1.00
24,3.61,929,1343,146.31,1.79
25,2.83,788,1367,135.00,1.41
26,4.12,1305,1442,104.04,1.00
27,3.61,411,1383,33.69,1.79
28,8.60,834,41,35.54,1.94
29,8.54,1418,731,20.56,1.97
30,5.00,634,1382,53.13,1.79
31,11.40,659,1469,142.13,2.09
32,6.32,1096,1078,71.57,1.94
33,3.61,1355,572,146.31,1.79
34,1.41,295,222,135.00,1.00
35,4.12,1054,1112,165.96,1.00
36,13.04,1737,850,94.40,1.00
37,14.87,1219,1256,160.35,1.90
38,6.32,772,1407,108.43,1.90
39,4.12,1194,1172,104.04,1.00
40,14.14,929,1153,135.00,1.41
41,9.43,716,1426,122.01,1.79
42,6.40,934,872,128.66,2.00
43,10.20,1584,1021,78.69,1.96
44,8.06,807,910,97.13,1.00
45,6.71,805,248,116.57,1.79
46,6.71,848,761,116.57,2.04
47,7.07,1333,297,98.13,1.00
48,13.60,1547,847,107.10,1.94
49,6.71,1286,1169,63.43,1.94
50,3.16,818,718,161.57,1.00
51,2.24,819,584,116.57,1.00
52,7.21,770,60,56.31,1.94
53,5.39,435,515,111.80,1.90
54,3.61,850,358,56.31,1.79
55,5.00,653,588,143.13,1.79
56,4.47,1212,1193,153.43,1.90
57,12.17,564,383,80.54,1.98
58,5.83,1025,1474,120.96,1.79
59,5.66,846,1103,45.00,1.41
60,6.40,288,589,51.34,1.94
61,8.54,1114,1384,69.44,2.06
62,7.21,562,477,146.31,1.94
63,3.16,491,1306,161.57,1.00
64,3.61,280,975,123.69,1.79
65,2.83,436,179,45.00,1.41
66,8.25,665,1361,165.96,1.98
67,6.32,1260,1390,161.57,1.94
68,6.71,1087,952,153.43,1.90
69,3.16,1287,1300,108.43,1.00
70,12.21,1688,1059,124.99,2.09
71,9.22,692,738,49.40,2.00
72,12.53,404,310,61.39,1.79
73,4.12,1081,297,104.04,1.00
74,1.41,873,1172,135.00,1.00
75,1.41,872,1182,135.00,1.00
76,5.39,1410,1041,21.80,1.94
77,3.61,1526,889,56.31,1.79
78,6.40,412,363,141.34,1.94
79,1.41,1041,910,135.00,1.00
80,3.61,1043,229,123.69,1.79
81,13.93,697,170,21.04,2.06
82,10.44,1698,1122,73.30,1.96
83,3.16,1094,870,161.57,1.00
84,14.04,1611,842,94.09,1.00
85,3.16,334,347,108.43,1.00
86,5.00,650,1303,36.87,1.94
87,6.08,289,1060,170.54,1.00
88,12.53,764,954,28.61,1.79
89,2.24,1220,1068,153.43,1.00
90,5.00,1039,1571,126.87,1.94
91,3.16,1132,1454,161.57,1.00
92,2.24,1434,323,153.43,1.00
93,8.60,1663,859,54.46,1.94
94,11.40,495,1192,74.74,1.96
95,6.40,647,939,141.34,1.94
96,17.80,1099,1425,128.16,2.00
97,6.08,573,1152,170.54,1.00
98,9.85,490,736,66.04,2.04
99,2.83,1184,1072,45.00,1.41
100,7.21,1382,321,56.31,1.94
101,3.16,361,1366,161.57,1.00
102,8.06,1076,395,29.74,1.79
103,21.59,522,327,13.39,1.96
104,2.83,1206,1486,135.00,1.41
105,3.61,936,1532,123.69,1.79
106,5.39,983,1332,158.20,1.94
107,12.21,731,262,34.99,2.09
108,7.28,1578,1096,105.95,1.96
109,4.47,1579,1108,116.57,1.90
110,8.25,1371,459,14.04,1.94
111,3.61,1292,968,33.69,1.79
112,9.06,1115,408,96.34,1.00
113,3.61,780,382,123.69,1.79
114,3.61,1201,964,146.31,1.79
115,6.32,1164,300,71.57,1.96
116,18.38,501,251,45.00,1.41
117,9.22,677,33,167.47,1.97
118,8.25,746,341,165.96,1.96
119,5.83,486,184,149.04,1.79
120,6.40,602,587,128.66,1.94
121,1.41,1264,721,135.00,1.00
122,8.94,1025,1149,116.57,2.04
123,9.49,795,1064,161.57,1.94
124,4.47,1572,898,63.43,1.90
125,3.61,528,1254,123.69,1.79
126,8.06,1186,1116,150.26,1.79
127,5.83,740,228,59.04,1.79
128,5.83,1287,314,120.96,1.94
129,10.82,706,858,33.69,2.06
130,3.61,1368,1280,146.31,1.79
131,3.61,1377,1283,146.31,1.79
132,1.41,996,1279,135.00,1.00
133,8.06,1003,1282,150.26,1.79
134,5.39,1287,705,21.80,1.94
135,11.18,848,1381,116.57,1.79
136,5.00,826,492,53.13,1.94
137,4.47,510,1147,116.57,1.79
138,3.61,1336,659,33.69,1.79
139,4.47,1212,283,63.43,1.90
140,2.83,1042,841,135.00,1.41
141,7.07,957,917,98.13,1.00
142,7.62,691,755,113.20,1.94
143,6.32,1513,735,108.43,1.94
144,12.08,358,273,65.56,2.04
145,3.16,395,962,161.57,1.00
146,13.04,687,1068,57.53,2.12
147,12.04,1680,1018,94.76,1.00
148,6.40,648,401,128.66,1.94
149,7.07,1027,590,135.00,1.41
150,7.28,820,206,105.95,1.97
151,7.62,762,566,66.80,1.90
152,5.00,1223,213,36.87,1.79
153,6.32,842,7,71.57,1.96
154,3.61,460,225,123.69,1.79
155,9.06,1335,368,173.66,1.00
156,2.83,1359,242,135.00,1.41
157,6.40,1326,1283,141.34,1.94
158,21.02,1626,1093,92.73,1.00
159,16.12,465,401,82.87,1.99
160,6.40,449,372,38.66,1.94
161,5.00,1353,1191,53.13,1.79
162,3.61,460,680,56.31,1.79
163,5.39,929,816,68.20,1.90
164,13.34,998,1242,12.99,1.98
165,4.12,611,371,104.04,1.00
166,13.04,1601,1117,175.60,1.00
167,12.37,506,1282,14.04,1.94
168,6.40,1039,1481,128.66,1.94
169,13.04,1636,1016,94.40,1.00
170,7.28,788,1108,164.05,1.97
171,4.47,1276,267,26.57,1.79
172,6.71,521,1050,116.57,1.94
173,8.25,891,1372,104.04,1.98
174,3.61,936,1532,123.69,1.79
175,4.47,465,246,116.57,1.90
176,9.43,945,214,32.01,2.06
177,3.61,896,823,123.69,1.79
178,1.41,1361,918,135.00,1.00
179,21.93,384,1106,136.85,2.07
180,8.94,604,225,153.43,2.04
181,10.77,1164,1152,158.20,1.90
182,2.83,662,1032,135.00,1.41
183,7.81,904,1145,50.19,2.00
184,3.61,893,743,123.69,1.79
185,12.65,534,537,18.43,2.06
186,4.24,466,1295,135.00,1.41
187,9.49,591,1054,161.57,1.94
188,5.00,504,211,143.13,1.94
189,4.12,1088,218,104.04,1.00
190,21.59,682,402,76.61,1.96
191,4.47,1413,357,26.57,1.79
192,3.61,1119,1198,146.31,1.79
193,10.77,974,240,68.20,1.94
194,9.85,815,421,156.04,2.04
195,3.61,524,1330,146.31,1.79
196,5.39,434,858,68.20,1.90
197,12.04,850,145,41.63,2.03
198,7.81,1145,1302,129.81,2.00
199,1.41,966,1371,135.00,1.00
200,3.61,1347,271,33.69,1.79
201,4.47,982,1075,63.43,1.90
202,6.71,1209,1482,116.57,1.94
203,5.83,323,1174,59.04,1.79
204,2.24,682,825,116.57,1.00
205,11.18,1257,1136,169.70,1.97
206,3.61,1388,988,33.69,1.79
207,2.24,390,1059,116.57,1.00
208,7.07,1099,1225,135.00,1.41
209,11.40,699,416,15.26,1.97
210,12.04,544,237,131.63,2.07
211,11.40,749,188,105.26,1.96
212,4.12,1508,844,165.96,1.00
213,2.83,573,1338,135.00,1.41
214,5.10,478,471,168.69,1.00
215,4.12,438,1084,104.04,1.00
216,11.70,701,19,70.02,2.06
217,2.83,1108,1492,135.00,1.41
218,7.62,547,1011,113.20,1.90
219,1.41,550,1019,135.00,1.00
220,1.41,884,588,135.00,1.00
221,3.16,395,1120,108.43,1.00
222,12.65,574,699,71.57,1.94
223,2.24,1097,1483,153.43,1.00
224,3.61,350,509,56.31,1.79
225,2.24,347,513,116.57,1.00
226,19.31,776,994,21.25,2.11
227,3.16,1431,934,161.57,1.00
228,11.18,445,333,63.43,2.04
229,7.62,901,908,156.80,1.90
230,4.47,865,949,116.57,1.79
231,8.54,347,461,69.44,1.90
232,4.24,855,584,135.00,1.41
233,2.83,862,592,135.00,1.41
234,21.38,399,1117,10.78,2.05
235,12.53,477,1225,28.61,2.11
236,3.61,879,119,33.69,1.79
237,1.41,748,524,135.00,1.00
238,10.00,621,185,143.13,1.94
239,1.41,844,917,135.00,1.00
240,7.07,852,926,135.00,1.41
241,4.12,1265,282,104.04,1.00
242,3.61,186,1094,146.31,1.79
243,7.28,555,113,164.05,1.94
244,2.83,1353,212,45.00,1.41
245,2.24,1082,1017,153.43,1.00
246,8.94,1019,431,63.43,1.79
247,2.24,1476,704,153.43,1.00
248,2.83,405,246,45.00,1.41
249,21.38,1167,393,100.78,2.05
250,7.62,577,92,66.80,1.90
251,12.08,644,984,65.56,2.04
252,4.24,1271,937,45.00,1.41
253,3.61,988,1098,56.31,1.79
254,3.61,982,1114,56.31,1.79
255,4.47,756,175,153.43,1.90
256,11.40,367,1145,164.74,1.94
257,6.71,877,419,153.43,1.90
258,7.62,1009,1089,23.20,1.90
259,7.28,546,739,15.95,1.94
260,2.83,584,290,135.00,1.41
261,3.61,1059,851,146.31,1.79
262,3.16,1324,383,108.43,1.00
263,5.10,1347,222,101.31,1.00
264,3.61,236,1002,146.31,1.79
265,8.60,1033,262,54.46,2.00
266,7.28,1657,1092,164.05,1.94
267,2.24,1665,1094,153.43,1.00
268,3.16,1669,1095,161.57,1.00
269,3.16,1674,1096,161.57,1.00
270,2.83,1405,982,135.00,1.41
271,8.25,595,622,75.96,1.97
272,7.81,426,1125,129.81,1.94
273,7.07,964,1316,98.13,1.00
274,6.71,374,474,26.57,1.90
275,2.24,360,477,153.43,1.00
276,8.06,441,571,60.26,1.79
277,3.61,594,200,56.31,1.79
278,20.52,1652,1085,136.97,2.07
279,1.41,369,556,135.00,1.00
280,15.81,374,559,145.30,2.12
281,19.70,610,1016,113.96,2.15
282,7.07,628,911,45.00,1.41
283,9.22,657,1070,12.53,1.98
284,8.25,1118,987,104.04,1.94
285,7.07,991,901,171.87,1.00
286,11.66,1232,438,59.04,2.14
287,4.47,1327,1329,116.57,1.79
288,10.30,578,439,150.95,2.04
