 ,Feret,FeretX,FeretY,FeretAngle,MinFeret
1,5.39,3,1150,21.80,1.90
2,7.28,39,1173,105.95,1.97
3,2.24,10,1099,153.43,1.00
4,4.24,50,1146,45.00,1.41
5,4.24,67,1176,45.00,1.41
6,10.63,26,1169,138.81,2.03
7,12.04,53,1167,41.63,2.07
8,1.41,247,556,135.00,1.00
9,2.24,103,570,153.43,1.00
10,3.61,44,572,146.31,1.79
11,14.14,190,586,81.87,1.99
12,1.41,167,493,135.00,1.00
13,5.00,243,566,143.13,1.94
14,5.39,220,581,111.80,1.94
15,3.16,167,516,161.57,1.00
16,2.24,155,521,153.43,1.00
17,4.47,182,533,153.43,1.79
18,4.47,102,534,153.43,1.90
19,2.83,182,532,45.00,1.41
20,3.61,134,580,123.69,1.79
21,9.22,117,587,102.53,1.98
22,4.24,169,558,45.00,1.41
23,3.61,110,546,123.69,1.79
24,10.20,178,554,168.69,1.96
25,1.41,153,570,135.00,1.00
26,5.39,139,574,21.80,1.90
27,1.41,166,513,135.00,1.00
28,1.41,157,521,135.00,1.00
29,11.70,152,573,109.98,1.94
30,7.81,152,574,39.81,2.00
31,3.16,163,538,161.57,1.00
32,13.15,168,573,98.75,1.99
33,5.39,182,570,158.20,1.90
34,1.41,27,26,135.00,1.00
35,6.08,89,27,170.54,1.00
36,1.41,27,26,135.00,1.00
37,1.41,76,8,135.00,1.00
38,21.10,313,506,5.44,1.99
39,7.07,430,609,98.13,1.00
40,7.07,431,623,98.13,1.00
41,20.52,330,651,136.97,2.07
42,20.40,290,746,168.69,1.97
43,20.62,341,601,39.09,2.03
44,15.23,266,783,66.80,2.15
45,20.40,289,817,11.31,1.97
46,21.10,303,570,121.43,2.11
47,6.32,180,742,71.57,1.94
48,5.00,178,698,126.87,1.79
49,5.39,102,675,111.80,1.90
50,16.64,275,590,122.74,2.12
51,1.41,177,701,135.00,1.00
52,11.05,177,711,95.19,1.00
53,1.41,113,690,135.00,1.00
54,2.83,104,703,45.00,1.41
55,6.71,148,711,63.43,1.79
56,15.30,137,691,11.31,1.99
57,13.60,84,684,53.97,2.00
58,17.26,157,719,169.99,2.05
59,20.62,196,723,75.96,2.06
60,2.83,118,693,45.00,1.41
61,12.17,80,692,99.46,1.99
62,19.72,82,687,149.53,2.14
63,20.22,294,702,8.53,1.99
64,7.28,130,697,74.05,1.94
65,10.30,113,91,119.05,1.79
66,21.26,178,37,131.19,2.07
67,5.00,49,118,126.87,1.79
68,19.10,27,128,132.88,2.07
69,10.63,169,54,131.19,2.05
70,20.81,255,1162,35.22,2.13
71,6.32,568,712,18.43,1.96
72,2.24,532,687,116.57,1.00
73,5.00,571,717,36.87,1.79
74,3.61,464,542,146.31,1.79
75,5.39,462,511,111.80,1.90
76,5.00,582,769,53.13,1.79
77,6.32,550,787,18.43,1.94
78,2.83,514,833,135.00,1.41
79,2.24,564,821,153.43,1.00
80,1.41,635,425,135.00,1.00
81,3.61,595,424,33.69,1.79
82,3.61,610,450,56.31,1.79
83,4.47,572,532,153.43,1.79
84,7.28,1398,497,164.05,1.96
85,15.13,805,644,82.41,1.99
86,10.30,1064,878,29.05,2.06
87,1.41,712,225,135.00,1.00
88,12.37,909,616,104.04,1.97
89,1.41,752,493,135.00,1.00
90,4.12,735,497,165.96,1.00
91,3.61,1182,881,146.31,1.79
92,2.24,974,952,153.43,1.00
93,5.39,1470,237,68.20,1.90
94,10.82,1000,577,123.69,2.06
95,9.85,785,527,113.96,2.10
96,11.18,1214,679,79.70,1.99
97,8.25,1055,490,75.96,1.96
98,4.47,1010,536,26.57,1.90
99,2.24,869,522,153.43,1.00
100,1.41,1014,741,135.00,1.00
101,2.24,1390,201,153.43,1.00
102,4.47,814,272,63.43,1.90
103,11.18,973,710,26.57,2.11
104,10.77,1303,516,158.20,1.94
105,8.60,1355,328,144.46,1.94
106,7.28,785,238,105.95,1.96
107,3.61,993,338,33.69,1.79
108,5.00,1252,705,36.87,1.79
109,7.81,1146,579,50.19,1.94
110,5.39,905,684,21.80,1.90
111,6.32,1400,314,108.43,1.90
112,6.08,917,654,99.46,1.00
113,4.12,1169,552,104.04,1.00
114,3.16,874,324,161.57,1.00
115,5.00,1210,370,126.87,1.94
