 ,Label,Area Percentage,Area,Mean Intensity,Min Intensity,Max Intensity,X,Y,Perimeter,Vasculature Length,Max Vessel Distance,Mean Vessel Distance,Min Vessel Distance,SD Vessel Distance
1,C:\Users\maxde\Desktop\PAI-data-analysis\resources\images\/532_OR_40_index0.png,12.983281,1920000,33.107367,0,255,800,600.000000,5600,3658751.949950,120.213890,31.513046,5.380604,15.878509
2,C:\Users\maxde\Desktop\PAI-data-analysis\resources\images\/532_OR_419_index0-1.png,27.900521,2880000,71.146328,0,255,900,800.000000,6800,5493214.617029,189.433501,36.751964,4.387370,24.570294
3,C:\Users\maxde\Desktop\PAI-data-analysis\resources\images\/532_OR_419_index0.jpeg,48.127917,2880000,122.726187,0,255,900,800.000000,6800,5488662.268115,146.285160,36.346452,8.666428,24.727044
4,C:\Users\maxde\Desktop\PAI-data-analysis\resources\images\/532_OR_421_index0.jpeg,38.545868,2880000,98.291964,0,255,900,800.000000,6800,5520525.578654,129.043091,38.660617,9.070716,25.343651
5,C:\Users\maxde\Desktop\PAI-data-analysis\resources\images\/532_OR_43_index0.png,16.377778,2160000,41.763333,0,255,900,600.000000,6000,4132776.388043,122.119405,32.953026,6.834631,17.626157
6,C:\Users\maxde\Desktop\PAI-data-analysis\resources\images\/532_OR_44_index0.jpeg,34.322361,2160000,87.522021,0,255,900,600.000000,6000,4101066.949294,121.313105,31.884115,2.129724,19.823585
7,C:\Users\maxde\Desktop\PAI-data-analysis\resources\images\/532_OR_47_index0.jpeg,32.041840,2158200,81.706693,0,255,900,599.500000,5998,4094298.805066,141.554968,31.101432,2.711613,18.160256
8,C:\Users\maxde\Desktop\PAI-data-analysis\resources\images\/532_OR_48_index0.png,15.640534,2158200,39.883361,0,255,900,599.500000,5998,4112948.263002,97.394473,29.966720,6.382317,15.468859
9,C:\Users\maxde\Desktop\PAI-data-analysis\resources\images\/532_OR_55_index0.png,18.915000,2160000,48.233250,0,255,900,600.000000,6000,4131713.650886,140.839646,32.505114,6.252374,20.416938
10,C:\Users\maxde\Desktop\PAI-data-analysis\resources\images\/532_OR_56_index0.jpeg,31.945093,2160000,81.459986,0,255,900,600.000000,6000,4120467.420439,176.988703,35.099323,9.892362,22.987027
11,C:\Users\maxde\Desktop\PAI-data-analysis\resources\images\/532_OR_78_index0.png,17.348958,2400000,44.239844,0,255,1000,600.000000,6400,4592182.740275,122.976449,32.461735,7.407305,18.237967
